*** gpac-custom-filter logs (GPAC version 1.1.0-DEV-revUNKNOWN-HEAD ) - test date 29/04/2021 23:35:25 ***


*** Subtest "custom": executing "gpac  -mem-track -noprog -for-test -old-arch -no-reassign -p=0 -i ./media/auxiliary_files/enst_video.h264 -lcf" ***
PID enst_video.h264 Got packet CTS 22080000
PID enst_video.h264 Got packet CTS 22720000
PID enst_video.h264 Got packet CTS 22400000
PID enst_video.h264 Got packet CTS 22560000
PID enst_video.h264 Got packet CTS 22880000
PID enst_video.h264 Got packet CTS 23040000
PID enst_video.h264 Got packet CTS 23200000
PID enst_video.h264 Got packet CTS 23360000
PID enst_video.h264 Got packet CTS 23520000
PID enst_video.h264 Got packet CTS 23680000
PID enst_video.h264 Got packet CTS 23840000
PID enst_video.h264 Got packet CTS 24000000
PID enst_video.h264 Got packet CTS 24160000
PID enst_video.h264 Got packet CTS 24320000
PID enst_video.h264 Got packet CTS 24480000
PID enst_video.h264 Got packet CTS 24640000
PID enst_video.h264 Got packet CTS 24800000
PID enst_video.h264 Got packet CTS 24960000
PID enst_video.h264 Got packet CTS 25120000
PID enst_video.h264 Got packet CTS 25280000
PID enst_video.h264 Got packet CTS 25440000
PID enst_video.h264 Got packet CTS 25600000
PID enst_video.h264 Got packet CTS 25760000
PID enst_video.h264 Got packet CTS 25920000
PID enst_video.h264 Got packet CTS 26080000
PID enst_video.h264 Got packet CTS 26240000
PID enst_video.h264 Got packet CTS 26400000
PID enst_video.h264 Got packet CTS 26560000
PID enst_video.h264 Got packet CTS 26720000
PID enst_video.h264 Got packet CTS 26880000
PID enst_video.h264 Got packet CTS 27040000
PID enst_video.h264 Got packet CTS 27200000
PID enst_video.h264 Got packet CTS 27680000
PID enst_video.h264 Got packet CTS 27360000

